Player_Name,TeamName_bat,Matches_bat,TotalRuns,Balls,Dotballs,StrikeRate_bat,Fours,Sixes,Outs,NotOuts,BattingAverage,FiftyPlusRuns,Centuries,HighestScore,Year,TeamName_bowl,Matches_bowl,TotalRunsConceded,DotBallsBowled,ScoringBallsBowled,BowlingAverage,StrikeRate_bowl,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Wides,NoBalls,Wickets,Maidens,FourWickets,FiveWickets,Hattricks,Team Name,Price,Price_Cr
Anrich Nortje,Delhi Capitals,16.0,7.0,6.0,,116.66,0.0,0.0,1.0,4.0,7.0,0.0,0.0,3*,2020,Delhi Capitals,16.0,512.0,160.0,,23.27,16.63,,,8.39,61.0,,,22.0,0.0,0.0,0.0,0.0,Delhi Capitals,0.5 crore,0.5
Anrich Nortje,,,,,,,,,,,,,,,2021,Delhi Capitals,8.0,187.0,84.0,,15.58,15.16,,,6.16,30.0,,,12.0,1.0,0.0,0.0,0.0,Delhi Capitals,0.5 crore,0.5
Anrich Nortje,Delhi Capitals,6.0,1.0,6.0,5.0,16.66,0.0,0.0,0.0,1.0,-,0.0,0.0,1*,2022,Delhi Capitals,6.0,217.0,49.0,94.0,24.11,14.88,66.35,4.32,9.71,22.2,5.0,4.0,9.0,0.0,0.0,0.0,,Delhi Capitals,6.5 crore,6.5
Anrich Nortje,Delhi Capitals,10.0,37.0,29.0,10.0,127.58,6.0,0.0,3.0,4.0,12.33,0.0,0.0,23*,2023,Delhi Capitals,10.0,364.0,96.0,155.0,36.4,24.0,64.28,4.8,9.1,40.0,8.0,3.0,10.0,0.0,0.0,0.0,,Delhi Capitals,6.5 crore,6.5
Anrich Nortje,Delhi Capitals,6.0,4.0,8.0,5.0,50.0,0.0,0.0,2.0,0.0,2.00,0.0,0.0,4,2024,Delhi Capitals,6.0,294.0,40.0,100.0,42.0,18.85,78.91,2.8,13.36,22.0,7.0,1.0,7.0,0.0,0.0,0.0,,Delhi Capitals,0 crore,0.0
Anrich Nortje,,,,,,,,,,,,,,,2025,Kolkata Knight Riders,2.0,83.0,17.0,28.0,83.0,42.0,84.33,2.62,11.85,7.0,3.0,0.0,1.0,0.0,0.0,0.0,,Kolkata Knight Riders,6.5 crore,6.5
Anshul Kamboj,Mumbai Indians,3.0,2.0,2.0,0.0,100.0,0.0,0.0,0.0,1.0,-,0.0,0.0,2*,2024,Mumbai Indians,3.0,114.0,20.0,48.0,57.0,30.0,66.66,3.75,11.4,10.0,6.0,2.0,2.0,0.0,0.0,0.0,,Mumbai Indians,0.2 crore,0.2
Anshul Kamboj,Chennai Super Kings,8.0,14.0,12.0,6.0,116.66,2.0,0.0,2.0,3.0,7.00,0.0,0.0,5*,2025,Chennai Super Kings,8.0,172.0,56.0,74.0,21.5,16.12,67.44,5.16,8.0,21.3,0.0,1.0,8.0,0.0,0.0,0.0,,Chennai Super Kings,3.4 crore,3.4
Anuj Rawat,Royal Challengers Bangalore,8.0,129.0,118.0,60.0,109.32,10.0,7.0,8.0,0.0,16.13,1.0,0.0,66,2022,,,,,,,,,,,,,,,,,,,Royal Challengers Bangalore,3.4,3.4
Anukul Roy,,,,,,,,,,,,,,,2022,Kolkata Knight Riders,2.0,55.0,11.0,31.0,55.0,42.0,47.27,8.4,7.85,7.0,0.0,0.0,1.0,0.0,0.0,0.0,,Kolkata Knight Riders,0.2,0.2
