BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks,Year,InningsRuns,ClientPlayerID
Mohammad Nabi,,,SRH,Sunrisers Hyderabad,2,,2,,217,,47,12,,,47.0,30.0,30.0,,,9.4,5.0,,,,3,0,,,,,1,,,,04-Nov,04-Nov,0,,0,0,,0.0,2018,,
Imran Tahir,,,CSK,Chennai Super Kings,17,,17,,96,,431,149,,,16.57,14.84,14.84,,,6.69,64.0,,,,0,0,,,,,26,,,,4/12,4/12,1,,2,0,,0.0,2019,,
Kagiso Rabada,,,DC,Delhi Capitals,12,,12,,116,,368,113,,,14.72,11.28,11.28,,,7.82,47.0,,,,0,1,,,,,25,,,,4/21,4/21,0,,2,0,,0.0,2019,,
Deepak Chahar,,,CSK,Chennai Super Kings,17,,17,,91,,482,190,,,21.9,17.59,17.59,,,7.47,64.0,,,,1,0,,,,,22,,,,4/13,4/13,2,,0,0,,0.0,2019,,
Shreyas Gopal,,,RR,Rajasthan Royals,14,,14,,192,,347,107,,,17.35,14.4,14.4,,,7.22,48.0,,,,8,1,,,,,20,,,,4/16,4/16,1,,0,0,,1.0,2019,,
Mohammad Shami,,,PBKS,Punjab Kings,14,,14,,47,,469,119,,,24.68,17.05,17.05,,,8.68,54.0,,,,0,0,,,,,19,,,,3/15,3/15,0,,0,0,,0.0,2019,,
Khaleel Ahmed,,,SRH,Sunrisers Hyderabad,9,,9,,8,,287,87,,,15.1,11.0,11.0,,,8.23,35.0,,,,0,0,,,,,19,,,,3/21,3/21,0,,0,0,,0.0,2019,,
Jasprit Bumrah,,,MI,Mumbai Indians,16,,16,,9,,409,169,,,21.52,19.47,19.47,,,6.63,61.0,,,,0,0,,,,,19,,,,4/14,4/14,1,,0,0,,0.0,2019,,
Yuzvendra Chahal,,,RCB,Royal Challengers Bangalore,14,,14,,10,,386,117,,,21.44,16.44,16.44,,,7.82,49.0,,,,0,0,,,,,18,,,,4/25,4/25,1,,1,0,,0.0,2019,,
Rashid Khan,,,SRH,Sunrisers Hyderabad,15,,15,,218,,377,166,,,22.17,21.17,21.17,,,6.28,60.0,,,,2,2,,,,,17,,,,3/19,3/19,1,,0,0,,0.0,2019,,
Lasith Malinga,,,MI,Mumbai Indians,12,,12,,167,,438,91,,,27.37,16.81,16.81,,,9.76,45.0,,,,0,0,,,,,16,,,,5/13,5/13,0,,2,0,,0.0,2019,,
Harbhajan Singh,,,CSK,Chennai Super Kings,11,,11,,95,,312,117,,,19.5,16.5,16.5,,,7.09,44.0,,,,0,0,,,,,16,,,,5/18,5/18,1,,0,0,,0.0,2019,,
Ravichandran Ashwin,,,PBKS,Punjab Kings,14,,14,,45,,400,100,,,26.66,22.0,22.0,,,7.27,55.0,,,,3,3,,,,,15,,,,4/34,4/34,0,,0,0,,0.0,2019,,
