Player Name,Team Name,Price,Year,Price_Cr
Nathan Coulter-Nile,Rajasthan Royals,2.0,2022,2.0
James Neesham,Rajasthan Royals,1.5,2022,1.5
Karun Nair,Rajasthan Royals,1.4,2022,1.4
Rassie Van Der Dussen,Rajasthan Royals,1.0,2022,1.0
Daryl Mitchell,Rajasthan Royals,0.75,2022,0.75
Obed Mccoy,Rajasthan Royals,0.75,2022,0.75
K.C Cariappa,Rajasthan Royals,0.3,2022,0.3
Anunay Singh,Rajasthan Royals,0.2,2022,0.2
Dhruv Jurel,Rajasthan Royals,0.2,2022,0.2
Kuldeep Sen,Rajasthan Royals,0.2,2022,0.2
Kuldip Yadav,Rajasthan Royals,0.2,2022,0.2
Shubham Garhwal,Rajasthan Royals,0.2,2022,0.2
Tejas Baroka,Rajasthan Royals,0.2,2022,0.2
Harshal Patel,Royal Challengers Bangalore,10.75,2022,10.75
Wanindu Hasaranga,Royal Challengers Bangalore,10.75,2022,10.75
Josh Hazlewood,Royal Challengers Bangalore,7.75,2022,7.75
Faf Du Plessis,Royal Challengers Bangalore,7.0,2022,7.0
Dinesh Karthik,Royal Challengers Bangalore,5.5,2022,5.5
Anuj Rawat,Royal Challengers Bangalore,3.4,2022,3.4
Shahbaz Ahamad,Royal Challengers Bangalore,2.4,2022,2.4
David Willey,Royal Challengers Bangalore,2.0,2022,2.0
Sherfane Rutherford,Royal Challengers Bangalore,1.0,2022,1.0
Mahipal Lomror,Royal Challengers Bangalore,0.95,2022,0.95
Finn Allen,Royal Challengers Bangalore,0.8,2022,0.8
Jason Behrendorff,Royal Challengers Bangalore,0.75,2022,0.75
Siddharth Kaul,Royal Challengers Bangalore,0.75,2022,0.75
Karn Sharma,Royal Challengers Bangalore,0.5,2022,0.5
Suyash Prabhudessai,Royal Challengers Bangalore,0.3,2022,0.3
Chama Milind,Royal Challengers Bangalore,0.25,2022,0.25
Akash Deep,Royal Challengers Bangalore,0.2,2022,0.2
Aneeshwar Gautam,Royal Challengers Bangalore,0.2,2022,0.2
Luvnith Sisodia,Royal Challengers Bangalore,0.2,2022,0.2
Nicholas Pooran,Sunrisers Hyderabad,10.75,2022,10.75
Washington Sundar,Sunrisers Hyderabad,8.75,2022,8.75
Rahul Tripathi,Sunrisers Hyderabad,8.5,2022,8.5
Romario Shepherd,Sunrisers Hyderabad,7.75,2022,7.75
Abhishek Sharma,Sunrisers Hyderabad,6.5,2022,6.5
Bhuvneshwar Kumar,Sunrisers Hyderabad,4.2,2022,4.2
Marco Jansen,Sunrisers Hyderabad,4.2,2022,4.2
Kartik Tyagi,Sunrisers Hyderabad,4.0,2022,4.0
T. Natarajan,Sunrisers Hyderabad,4.0,2022,4.0
Aiden Markram,Sunrisers Hyderabad,2.6,2022,2.6
Sean Abbott,Sunrisers Hyderabad,2.4,2022,2.4
Glenn Phillips,Sunrisers Hyderabad,1.5,2022,1.5
Shreyas Gopal,Sunrisers Hyderabad,0.75,2022,0.75
Fazalhaq Farooqi,Sunrisers Hyderabad,0.5,2022,0.5
Vishnu Vinod,Sunrisers Hyderabad,0.5,2022,0.5
Jagadeesha Suchith,Sunrisers Hyderabad,0.2,2022,0.2
Priyam Garg,Sunrisers Hyderabad,0.2,2022,0.2
R Samarth,Sunrisers Hyderabad,0.2,2022,0.2
Saurabh Dubey,Sunrisers Hyderabad,0.2,2022,0.2
Shashank Singh,Sunrisers Hyderabad,0.2,2022,0.2
Ben stokes,Chennai Super Kings,0.0,2023,0.0
Ravindra jadeja,Chennai Super Kings,16 crore,2023,16.0
Deepak chahar,Chennai Super Kings,14 crore,2023,14.0
Ms dhoni,Chennai Super Kings,12 crore,2023,12.0
Moeen Ali,Chennai Super Kings,8 crore,2023,8.0
Ambati rayudu,Chennai Super Kings,6.75 crore,2023,6.75
Ruturaj Gaikwad,Chennai Super Kings,6 crore,2023,6.0
Shivam dube,Chennai Super Kings,4 crore,2023,4.0
Mitchell santner,Chennai Super Kings,1.9 crore,2023,1.9
Rajvardhan Hangargekar,Chennai Super Kings,1.5 crore,2023,1.5
Devon Conway,Chennai Super Kings,1 crore,2023,1.0
Maheesh Theekshana,Chennai Super Kings,0.7 crore,2023,0.7
Ajinkya rahane,Chennai Super Kings,0.5 crore,2023,0.5
Sisonda Magala,Chennai Super Kings,0.5 crore,2023,0.5
Matheesha Pathirana,Chennai Super Kings,0.2 crore,2023,0.2
Pathum Kumara,Chennai Super Kings,0.20 crore,2023,0.2
Shaik Rasheed,Chennai Super Kings,0.2 crore,2023,0.2
Tushar Deshpande,Chennai Super Kings,0.2 crore,2023,0.2
Dwaine Pretorius,Chennai Super Kings,0 crore,2023,0.0
Axar patel,Delhi Capitals,9 crore,2023,9.0
Prithvi shaw,Delhi Capitals,8 crore,2023,8.0
Anrich Nortje,Delhi Capitals,6.5 crore,2023,6.5
Mitchell marsh,Delhi Capitals,6.5 crore,2023,6.5
David warner,Delhi Capitals,6.25 crore,2023,6.25
Mukesh Kumar,Delhi Capitals,5.5 crore,2023,5.5
Khaleel ahmed,Delhi Capitals,5.25 crore,2023,5.25
Rilee Rossouw,Delhi Capitals,4.6 crore,2023,4.6
Chetan Sakariya,Delhi Capitals,4.2 crore,2023,4.2
Rovman powell,Delhi Capitals,2.8 crore,2023,2.8
Manish pandey,Delhi Capitals,2.4 crore,2023,2.4
Phil Salt,Delhi Capitals,2 crore,2023,2.0
Kuldeep yadav,Delhi Capitals,2 crore,2023,2.0
