StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Most_4s,Most_6s,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,Year,ClientPlayerID
Gautam Gambhir,0,6,,,,10010,,,DC,Delhi Capitals,10010,,,5,,85,88,,96.59,,,,,,,,,,8,1,8.0,1.0,5,0,17.0,1,0,,55,17.0,,,2018,
Axar Patel,110,9,,,,10010,,,PBKS,Punjab Kings,10010,,,8,,80,69,,115.94,,,,,,,,,,3,4,3.0,4.0,6,2,13.33,0,0,,19,13.33,,,2018,
Moeen Ali,206,5,,,,10010,,,RCB,Royal Challengers Bangalore,10010,,,4,,77,46,,167.39,,,,,,,,,,4,6,4.0,6.0,4,0,19.25,1,0,,65,19.25,,,2018,
Carlos Brathwaite,143,4,,,,10010,,,SRH,Sunrisers Hyderabad,10010,,,4,,75,48,,156.25,,,,,,,,,,1,8,1.0,8.0,3,1,25.0,0,0,,43*,25.0,,,2018,
David Miller,128,3,,,,10010,,,PBKS,Punjab Kings,10010,,,3,,74,64,,115.62,,,,,,,,,,3,2,3.0,2.0,2,1,37.0,0,0,,26,37.0,,,2018,
Washington Sundar,20,7,,,,10010,,,RCB,Royal Challengers Bangalore,10010,,,6,,65,38,,171.05,,,,,,,,,,5,4,5.0,4.0,3,3,21.66,0,0,,35,21.66,,,2018,
Yuvraj Singh,175,8,,,,10010,,,PBKS,Punjab Kings,10010,,,6,,65,73,,89.04,,,,,,,,,,6,2,6.0,2.0,6,0,10.83,0,0,,20,10.83,,,2018,
Abhishek Sharma,212,3,,,,10010,,,DC,Delhi Capitals,10010,,,3,,63,33,,190.9,,,,,,,,,,3,5,3.0,5.0,1,2,63.0,0,0,,46*,63.0,,,2018,
Colin Munro,73,5,,,,10010,,,DC,Delhi Capitals,10010,,,5,,63,41,,153.65,,,,,,,,,,7,4,7.0,4.0,5,0,12.6,0,0,,33,12.6,,,2018,
Harshal Patel,114,5,,,,10010,,,DC,Delhi Capitals,10010,,,2,,60,33,,181.81,,,,,,,,,,1,6,1.0,6.0,1,1,60.0,0,0,,36*,60.0,,,2018,
Rashid Khan,218,17,,,,10010,,,SRH,Sunrisers Hyderabad,10010,,,7,,59,31,,190.32,,,,,,,,,,3,6,3.0,6.0,5,2,11.8,0,0,,34*,11.8,,,2018,
Heinrich Klaasen,202,4,,,,10010,,,RR,Rajasthan Royals,10010,,,4,,57,47,,121.27,,,,,,,,,,5,1,5.0,1.0,3,1,19.0,0,0,,32,19.0,,,2018,
Manan Vohra,185,4,,,,10010,,,RCB,Royal Challengers Bangalore,10010,,,4,,55,47,,117.02,,,,,,,,,,2,4,2.0,4.0,4,0,13.75,0,0,,45,13.75,,,2018,
Shreevats Goswami,223,6,,,,10010,,,SRH,Sunrisers Hyderabad,10010,,,3,,52,40,,130.0,,,,,,,,,,6,1,6.0,1.0,3,0,17.33,0,0,,35,17.33,,,2018,
Tim Southee,77,8,,,,10010,,,RCB,Royal Challengers Bangalore,10010,,,4,,52,46,,113.04,,,,,,,,,,5,1,5.0,1.0,2,2,26.0,0,0,,36*,26.0,,,2018,
Sarfaraz Khan,139,7,,,,10010,,,RCB,Royal Challengers Bangalore,10010,,,6,,51,41,,124.39,,,,,,,,,,7,1,7.0,1.0,5,1,10.2,0,0,,22*,10.2,,,2018,
Rahul Tewatia,120,8,,,,10010,,,DC,Delhi Capitals,10010,,,5,,50,43,,116.27,,,,,,,,,,5,1,5.0,1.0,3,2,16.66,0,0,,24,16.66,,,2018,
Shreyas Gopal,192,11,,,,10010,,,RR,Rajasthan Royals,10010,,,4,,50,45,,111.11,,,,,,,,,,5,0,5.0,0.0,3,1,16.66,0,0,,24,16.66,,,2018,
Deepak Chahar,91,12,,,,10010,,,CSK,Chennai Super Kings,10010,,,4,,50,29,,172.41,,,,,,,,,,1,4,1.0,4.0,3,1,16.66,0,0,,39,16.66,,,2018,
Jaydev Unadkat,180,15,,,,10010,,,RR,Rajasthan Royals,10010,,,7,,49,38,,128.94,,,,,,,,,,6,1,6.0,1.0,4,3,12.25,0,0,,26,12.25,,,2018,
Manoj Tiwary,0,5,,,,10010,,,PBKS,Punjab Kings,10010,,,4,,47,44,,106.81,,,,,,,,,,4,1,4.0,1.0,3,1,15.66,0,0,,35,15.66,,,2018,
Chris Morris,112,4,,,,10010,,,DC,Delhi Capitals,10010,,,4,,46,26,,176.92,,,,,,,,,,3,2,3.0,2.0,1,3,46.0,0,0,,27*,46.0,,,2018,
Stuart Binny,195,7,,,,10010,,,RR,Rajasthan Royals,10010,,,5,,44,39,,112.82,,,,,,,,,,2,2,2.0,2.0,5,0,8.8,0,0,,22,8.8,,,2018,
JP Duminy,0,6,,,,10010,,,MI,Mumbai Indians,10010,,,4,,36,40,,90.0,,,,,,,,,,3,1,3.0,1.0,1,3,36.0,0,0,,23,36.0,,,2018,
Andrew Tye,30,14,,,,10010,,,PBKS,Punjab Kings,10010,,,8,,32,38,,84.21,,,,,,,,,,2,1,2.0,1.0,6,2,5.33,0,0,,14,5.33,,,2018,
Rinku Singh,152,4,,,,10010,,,KKR,Kolkata Knight Riders,10010,,,4,,29,31,,93.54,,,,,,,,,,4,0,4.0,0.0,4,0,7.25,0,0,,16,7.25,,,2018,
